name,description,learning_targets,pre_qualifications,lecture_id,combined
Embedded Systems,embedded system tiny computer system solve specific task part complex system vehicle appliance autonomous smart phone measurement instrument lecture discus specific problem encountered developing embedded system software corresponding solution course present following topic basic architecture embedded system software verification technique eg unit integration system test modular software development embedded test driven development io bus gpio interrupt timer pwm digital signal processing dsp including analog digital digital analog converter filtering arithmetic low energy operation networking exercise student solve system level programming task c language develop relatively leasy embedded system first use arduino platform development board switch custom hardware based atmel avr microcontroller student taking course need basic knowledge experience programming software development ideally cc digital circuit computer architecture organisation,student learn understand specific problem embedded system software able develop test high quality embedded software necessary theoretical knowledge suitable development test process also practical experience programming embedded system using c programming language,basic knowledge experience programming c,12,embedded system tiny computer system solve specific task part complex system vehicle appliance autonomous smart phone measurement instrument lecture discus specific problem encountered developing embedded system software corresponding solution course present following topic basic architecture embedded system software verification technique eg unit integration system test modular software development embedded test driven development io bus gpio interrupt timer pwm digital signal processing dsp including analog digital digital analog converter filtering arithmetic low energy operation networking exercise student solve system level programming task c language develop relatively leasy embedded system first use arduino platform development board switch custom hardware based atmel avr microcontroller student taking course need basic knowledge experience programming software development ideally cc digital circuit computer architecture organisation student learn understand specific problem embedded system software able develop test high quality embedded software necessary theoretical knowledge suitable development test process also practical experience programming embedded system using c programming language basic knowledge experience programming c
Internet-Technologie and Web Engineering ,goal lecture give overview fundamental technique standard internet particular world wide web describe function method scientific platform tool application web emphasis protocol design discussed exemplary common internet protocol well technique standard creation web application accompanying exercise small development project accomplished content detail socket design internet protocol example telnet ftp usenet irc domain name system dns security extension dnssec email smtp mime pop3 imap spam hypertext transfer protocol http session management standard world wide web html xml cs client side technique implementation web application html5 javascript ajax,student familiar basic internet protocol functionality design principle student knowledge different technique standard method used development web application design realize independent web application,,13,goal lecture give overview fundamental technique standard internet particular world wide web describe function method scientific platform tool application web emphasis protocol design discussed exemplary common internet protocol well technique standard creation web application accompanying exercise small development project accomplished content detail socket design internet protocol example telnet ftp usenet irc domain name system dns security extension dnssec email smtp mime pop3 imap spam hypertext transfer protocol http session management standard world wide web html xml cs client side technique implementation web application html5 javascript ajax student familiar basic internet protocol functionality design principle student knowledge different technique standard method used development web application design realize independent web application 
Computer Networks and Communication Systems,lecture cover hardware fundamental computer network technology packet transfer layer model protocol network application content particular hardware fundamental computer network transfer medium transfer component topology technology packet transfer access standard ethernet 10base2 10base5 10baset 100basetxfx gigabit ethernet fddi atm wireless lan dsl technique layer model protocol protocol family tcpip important service protocol ipv6 ipsec etc network application clientserver interaction socket service internet dns ftp www etc,student understand computer communication basis layer model organize physical logical component address example well service layer learn important standard access protocol family meaning data exchange identify different communication form considered architecture provided service understand interaction warranty guarantee information flow context quality confirmation,,14,lecture cover hardware fundamental computer network technology packet transfer layer model protocol network application content particular hardware fundamental computer network transfer medium transfer component topology technology packet transfer access standard ethernet 10base2 10base5 10baset 100basetxfx gigabit ethernet fddi atm wireless lan dsl technique layer model protocol protocol family tcpip important service protocol ipv6 ipsec etc network application clientserver interaction socket service internet dns ftp www etc student understand computer communication basis layer model organize physical logical component address example well service layer learn important standard access protocol family meaning data exchange identify different communication form considered architecture provided service understand interaction warranty guarantee information flow context quality confirmation 
Recommender Systems,lecture cover concept method technique system adapt different context process term context broadly understandable deal aspect location time context recent user task characteristic terminal device basic form adaption covered filterselection content service adaptive generation user interface adaptive presentation central aspect representation adaptive knowledge well inference learning method different technique capturing interpretation context shown finally program like ubiquitous computing recommender system demonstrated presentation illustrative video full detail content basic term model context adaptive system context factor modelling context ontology based context representation technical basic capturing external context context sensing context interpretation rule based probability approach representation adaptive knowledge classification different adaptive effect regarding technique automatic learning procedure adaptive system application ubiquitous computing specific application recommender system personal assistant,student know essential concept method context adaptive system able formalize analyze different aspect context familiar various form adaptive mechanism apply underlying inference technique learning procedure additionally student get know essential characteristic diverse application location based service user adaptive web application able design implement evaluate,,15,lecture cover concept method technique system adapt different context process term context broadly understandable deal aspect location time context recent user task characteristic terminal device basic form adaption covered filterselection content service adaptive generation user interface adaptive presentation central aspect representation adaptive knowledge well inference learning method different technique capturing interpretation context shown finally program like ubiquitous computing recommender system demonstrated presentation illustrative video full detail content basic term model context adaptive system context factor modelling context ontology based context representation technical basic capturing external context context sensing context interpretation rule based probability approach representation adaptive knowledge classification different adaptive effect regarding technique automatic learning procedure adaptive system application ubiquitous computing specific application recommender system personal assistant student know essential concept method context adaptive system able formalize analyze different aspect context familiar various form adaptive mechanism apply underlying inference technique learning procedure additionally student get know essential characteristic diverse application location based service user adaptive web application able design implement evaluate 
Security in Communication Networks,lecture introduces fundamental technology protocol architecture subsystem security communication network content particular fundamental cryptography symmetric asymmetric method hash function digital signature authentication key exchange protocol zero knowledge proof safety management key administration entrance access control safety architecture kerberos etc software anomaly manipulation protective measure security open system lan wan internet ipsec,student know different facet term security basis method generating key signature control expirationsequence communication protocol familiarize concept formation zero knowledge proof identify learned conceptual extensive safety architecture control fundamental safety aspect access computer familiarize important anomaly software necessary protective measure finally analyze extension network protocol safety,,16,lecture introduces fundamental technology protocol architecture subsystem security communication network content particular fundamental cryptography symmetric asymmetric method hash function digital signature authentication key exchange protocol zero knowledge proof safety management key administration entrance access control safety architecture kerberos etc software anomaly manipulation protective measure security open system lan wan internet ipsec student know different facet term security basis method generating key signature control expirationsequence communication protocol familiarize concept formation zero knowledge proof identify learned conceptual extensive safety architecture control fundamental safety aspect access computer familiarize important anomaly software necessary protective measure finally analyze extension network protocol safety 
Operating Systems,lecture present essential fundamental operating system study realization microsoft window familiy unixlinux lecture cover introduction requirement layer computer architecture process process state thrads scheduling single multiprcessor system parallel process processsynchronsation semaphore monitor application prducerconsumer deadlock process communication memory management direct memory management memory allocation virtual memory management addressing page replacement paging segmentation cache file system name convention attribute security file function structured file shared file implementation inputoutput io device device controller optimization multiprocessor system o multiprocessor system multicomputer introduction o security authentication attack inside outside buffer overflow classification o,student know theory concept modern operating system design understand model process memory management furthermore student able judge suitability different filesystems io device estimate mechanism algorithm o security,,17,lecture present essential fundamental operating system study realization microsoft window familiy unixlinux lecture cover introduction requirement layer computer architecture process process state thrads scheduling single multiprcessor system parallel process processsynchronsation semaphore monitor application prducerconsumer deadlock process communication memory management direct memory management memory allocation virtual memory management addressing page replacement paging segmentation cache file system name convention attribute security file function structured file shared file implementation inputoutput io device device controller optimization multiprocessor system o multiprocessor system multicomputer introduction o security authentication attack inside outside buffer overflow classification o student know theory concept modern operating system design understand model process memory management furthermore student able judge suitability different filesystems io device estimate mechanism algorithm o security 
Programming in C,introduction basic concept method object oriented programming oop example implementation done programming language c following topic presented introduction concept method object oriented software development abstraction encapsulation modularity hierarchy inheritance typing concurrency existence c extension c class object message dynamical memory allocation overloading polymorphism simple multipe inheritance static dynamic binding virtual function virtual base class exception handling introduction template function class name space application example,student know understand concept object oriented method apply smaller example c,,18,introduction basic concept method object oriented programming oop example implementation done programming language c following topic presented introduction concept method object oriented software development abstraction encapsulation modularity hierarchy inheritance typing concurrency existence c extension c class object message dynamical memory allocation overloading polymorphism simple multipe inheritance static dynamic binding virtual function virtual base class exception handling introduction template function class name space application example student know understand concept object oriented method apply smaller example c 
Internet of Things: Protocols and System Software,called internet thing iot next step evolution internet widely expected change world fundamental way billion small embedded electronics make physical world smart continuously delivering real time information state people physical structure environment like movement heat level pollution level air pressure addition world becomes programmable physical environment changed automatically software service running cloud course introduces student internet thing iot challenge technology topic interest include communication protocol eg ieee 802154 nbiot 6lowpan coap mqtt data modelling storage eg ontology linked data rdf ssn data access platform apis eg web system sparql continuous query complex event processing besides providing theoretical knowledge course also aim teaching student use iot technology realise real system end student perform group project develop iot software current prototype hardware platform like arduino raspberry pie,course introduces student challenge concept technology internet thing iot student learns theoretical background able analyse ass existing iot system practise design implement new one focus course iot networking system software concept technology used iot differ existing internet technology question answered course,,19,called internet thing iot next step evolution internet widely expected change world fundamental way billion small embedded electronics make physical world smart continuously delivering real time information state people physical structure environment like movement heat level pollution level air pressure addition world becomes programmable physical environment changed automatically software service running cloud course introduces student internet thing iot challenge technology topic interest include communication protocol eg ieee 802154 nbiot 6lowpan coap mqtt data modelling storage eg ontology linked data rdf ssn data access platform apis eg web system sparql continuous query complex event processing besides providing theoretical knowledge course also aim teaching student use iot technology realise real system end student perform group project develop iot software current prototype hardware platform like arduino raspberry pie course introduces student challenge concept technology internet thing iot student learns theoretical background able analyse ass existing iot system practise design implement new one focus course iot networking system software concept technology used iot differ existing internet technology question answered course 
Modeling,besides programming skill understanding theoretical concept abstraction formation model essential capability computer scientist course deal important aspect modelling computer science ranging intuitive semi formal method formal technique content introduction basic concept state diagram petri net basic concept property petri net reachability covering graph uml unified modelling language essential diagram type especially class object diagram behavioural diagram,student learn apply important modelling method uml petri net analyze practical example using modelling technique createsynthesize model learn difference various modelling method regard level detail degree formalization,,20,besides programming skill understanding theoretical concept abstraction formation model essential capability computer scientist course deal important aspect modelling computer science ranging intuitive semi formal method formal technique content introduction basic concept state diagram petri net basic concept property petri net reachability covering graph uml unified modelling language essential diagram type especially class object diagram behavioural diagram student learn apply important modelling method uml petri net analyze practical example using modelling technique createsynthesize model learn difference various modelling method regard level detail degree formalization 
Einführung in die Logik,,,,21,  
Scientific Visualization,lecture introductory course scientific data visualization particular emphasis put representation processing discrete data structure course start source scientific data computed tomography numerical approximation partial differential equation method serve example typical data source scientific visualization main part lecture concerned method visualization scalar vector valued volumetric datasets scalar datasets method covered include slicing ray casting marching square marching cube flow field concept glyphing line based dense topological visualization method discussed,student attend lecture able understand implement state art scientific visualization algorithm gain detailed knowledge source typical datasets measurement well simulation understand basic concept interpolation triangulation filtering able choose appropriate visualization technique number scenario including analysis large scalar vector valued volume terrain information lack spatial component,,22,lecture introductory course scientific data visualization particular emphasis put representation processing discrete data structure course start source scientific data computed tomography numerical approximation partial differential equation method serve example typical data source scientific visualization main part lecture concerned method visualization scalar vector valued volumetric datasets scalar datasets method covered include slicing ray casting marching square marching cube flow field concept glyphing line based dense topological visualization method discussed student attend lecture able understand implement state art scientific visualization algorithm gain detailed knowledge source typical datasets measurement well simulation understand basic concept interpolation triangulation filtering able choose appropriate visualization technique number scenario including analysis large scalar vector valued volume terrain information lack spatial component 
Compiler construction,lecture cover theoretical foundation algorithm compiler interpreter main topic introduction compiler construction syntax semantics programming language architecture compiler interpreter lexical analysis syntactic analysis intermediate representation program code generation optimization lecture accompanied hand exercise focusing making use algorithm introduced lecture course semester student incrementally develop enhance complete compiler simple programming language,lecture dual objective provide student necessary theoretical algorithmic foundation understand design compiler interpreter one hand expose practical aspect developing compiler hand completing exercise involves developing full fledged compiler based algorithm introduced lecture,,23,lecture cover theoretical foundation algorithm compiler interpreter main topic introduction compiler construction syntax semantics programming language architecture compiler interpreter lexical analysis syntactic analysis intermediate representation program code generation optimization lecture accompanied hand exercise focusing making use algorithm introduced lecture course semester student incrementally develop enhance complete compiler simple programming language lecture dual objective provide student necessary theoretical algorithmic foundation understand design compiler interpreter one hand expose practical aspect developing compiler hand completing exercise involves developing full fledged compiler based algorithm introduced lecture 
Mathematical structures,content foundation set relation function number theory analysis continuity differentiation curve sketching algebraic stuctures monoids group field vector space linear algebra combinatorics,student shall learn important mathematical structure become able work use formal definition based set function notation perform computation foundational algebraic structure group field vector space learn method combinatorics exercise differentiation function curve sketching aim le student perform proof able confidently work presented method,,24,content foundation set relation function number theory analysis continuity differentiation curve sketching algebraic stuctures monoids group field vector space linear algebra combinatorics student shall learn important mathematical structure become able work use formal definition based set function notation perform computation foundational algebraic structure group field vector space learn method combinatorics exercise differentiation function curve sketching aim le student perform proof able confidently work presented method 
Programming Paradigm,order judge problem related adequacy programming language operational representation sufficient know one two programming language le well instead also important acquire meta level concept allow comparing assessing relevant feature programming language aim different programming paradigm covered well consideration implementation content expression command type concept variable value procedural functional abstraction modularisation abstraction concept data type polymorphism logic programming,goal lecture train following competence evaluationjudgment programming language ability choose programming language suitable problem solve improvement communication reflection skill programmingimplementation presentationdiscussion example problem exercise,,25,order judge problem related adequacy programming language operational representation sufficient know one two programming language le well instead also important acquire meta level concept allow comparing assessing relevant feature programming language aim different programming paradigm covered well consideration implementation content expression command type concept variable value procedural functional abstraction modularisation abstraction concept data type polymorphism logic programming goal lecture train following competence evaluationjudgment programming language ability choose programming language suitable problem solve improvement communication reflection skill programmingimplementation presentationdiscussion example problem exercise 
Basic Programming Skills,lecture use state art programming language eg python 3 zuteach basic programming skill application thereof particular lecturewill include topic basic structure program programming elementsdata type variable expression branch loop furthermore discussinput output using pipe stream along exception handling lecturecovers function recursive algorithm particular application searchingand sorting also look high level concept modern programming languagessuch list comprehension lecture finish introduction secondimperative programming language java comparison two languagesto understand difference similarity modern programming language,student learn basic concept modern programming language posse basic knowledge variable data type structural element able analyseproblems basic scenario able choose appropriate data structure algorithm able implement data structure algorithm two differentprogramming language eg java python structure document resultingsource code according well established standard,,26,lecture use state art programming language eg python 3 zuteach basic programming skill application thereof particular lecturewill include topic basic structure program programming elementsdata type variable expression branch loop furthermore discussinput output using pipe stream along exception handling lecturecovers function recursive algorithm particular application searchingand sorting also look high level concept modern programming languagessuch list comprehension lecture finish introduction secondimperative programming language java comparison two languagesto understand difference similarity modern programming language student learn basic concept modern programming language posse basic knowledge variable data type structural element able analyseproblems basic scenario able choose appropriate data structure algorithm able implement data structure algorithm two differentprogramming language eg java python structure document resultingsource code according well established standard 
Computer Graphics,lecture introduces basic computer graphic present term algorithm raster graphic introduces important method low level image processing develops modeling lightening model 3d graphic content particular geometric model particular triangular mesh parametric line surface color model color perception shading lighting reflection ray tracing algorithm ray tracing acceleration geometric transformation rasterization apis hardware aided rasterization sampling theory,student learn basic concept computer graphic insight generation geometric model using polygonal approximation well parametric line surface learn make difference two basic concept able choose appropriate representation given task furthermore know important appearance modelling method understand basic light color simulation representation perception student learn two basic 3d rendering technique ray tracing rasterization understand strength weakness approach able choose appropriate given scenario,,27,lecture introduces basic computer graphic present term algorithm raster graphic introduces important method low level image processing develops modeling lightening model 3d graphic content particular geometric model particular triangular mesh parametric line surface color model color perception shading lighting reflection ray tracing algorithm ray tracing acceleration geometric transformation rasterization apis hardware aided rasterization sampling theory student learn basic concept computer graphic insight generation geometric model using polygonal approximation well parametric line surface learn make difference two basic concept able choose appropriate representation given task furthermore know important appearance modelling method understand basic light color simulation representation perception student learn two basic 3d rendering technique ray tracing rasterization understand strength weakness approach able choose appropriate given scenario 
Databases,data base essential tool handling large volume data course teach basic database system student learn work system exercise example help understanding theoretical concept small practical task carried running database system content introduction database database design relational model relational query language data integrity relational schema design transaction management synchronization security extensible object relational database,student learn theory conćepts relational database relational query language basic database design learn apply sql standard method relational schema design understand concept view ace right transaction able judge suitability limitation relational database ass consequence schema change well risk bad schema design,,28,data base essential tool handling large volume data course teach basic database system student learn work system exercise example help understanding theoretical concept small practical task carried running database system content introduction database database design relational model relational query language data integrity relational schema design transaction management synchronization security extensible object relational database student learn theory conćepts relational database relational query language basic database design learn apply sql standard method relational schema design understand concept view ace right transaction able judge suitability limitation relational database ass consequence schema change well risk bad schema design 
Data Structures and Algorithms,course teach concept abstract data type introduces fundamental abstract data type show usehandling within scope important class algorithm content detail notion algorithm syntax semantics specification development algorithm stepwise refinement theory algorithm computability complexity correctness important algorithm searching sorting concept abstract data type specification implementation significance pre postconditions important abstract data type linked list stack queue set binary tree balanced binary tree b tree hash tablesgraphs important class algorithm divide conquer searching sorting graph algorithm greedy backtracking,student able explain notion algorithm understood develop algorithm stepwise refinement know important complexity class able estimate complexity algorithm using class student able explain concept abstract data type enumerate explain important abstract data type know difference strength weakness different data type therefore able choose implement appropriate type given environment,,29,course teach concept abstract data type introduces fundamental abstract data type show usehandling within scope important class algorithm content detail notion algorithm syntax semantics specification development algorithm stepwise refinement theory algorithm computability complexity correctness important algorithm searching sorting concept abstract data type specification implementation significance pre postconditions important abstract data type linked list stack queue set binary tree balanced binary tree b tree hash tablesgraphs important class algorithm divide conquer searching sorting graph algorithm greedy backtracking student able explain notion algorithm understood develop algorithm stepwise refinement know important complexity class able estimate complexity algorithm using class student able explain concept abstract data type enumerate explain important abstract data type know difference strength weakness different data type therefore able choose implement appropriate type given environment 
Advanced Image Synthesis,lecture number state art concept 3d environment explained systematic way particular lecture contains topic architecture graphic hardware low high level apis opengl directx interactive reflection refraction method simulate shadow introduction radiometric quantity radiosity irradiance volume precomputed radiance transfer ambient occlusion terrain rendering terrain synthesis hair fur rendering high dynamic range imaging,attending lecture student able understand implement state art graphic algorithm student basic understand 3d computer graphic learn advanced concept build foundation including algorithm generation visualization interactive 3d world student take course understand working current graphic engine used movie game industry virtual augmented reality scenario,,30,lecture number state art concept 3d environment explained systematic way particular lecture contains topic architecture graphic hardware low high level apis opengl directx interactive reflection refraction method simulate shadow introduction radiometric quantity radiosity irradiance volume precomputed radiance transfer ambient occlusion terrain rendering terrain synthesis hair fur rendering high dynamic range imaging attending lecture student able understand implement state art graphic algorithm student basic understand 3d computer graphic learn advanced concept build foundation including algorithm generation visualization interactive 3d world student take course understand working current graphic engine used movie game industry virtual augmented reality scenario 
Information Mining,information mining deal extraction implicit information raw data data mining text text mining goal development method analyzing database discovering useful information mean abstraction pupose machine learning method applied content input output algorithm classification numeric prediction association clustering evaluation data mining method implementation real machine learning scheme transformation engineering input output data mining time dependent data dat mining social network text clustering flathierarchic clustering evaluation optimum clustering framework text classification,student understand theoretic concept underlying information mining method able apply method evaluate outcome furthermore understand possibility limitation method,,31,information mining deal extraction implicit information raw data data mining text text mining goal development method analyzing database discovering useful information mean abstraction pupose machine learning method applied content input output algorithm classification numeric prediction association clustering evaluation data mining method implementation real machine learning scheme transformation engineering input output data mining time dependent data dat mining social network text clustering flathierarchic clustering evaluation optimum clustering framework text classification student understand theoretic concept underlying information mining method able apply method evaluate outcome furthermore understand possibility limitation method 
Information Retrieval,information retrieval deal vagueness imprecision information system course teach advanced concept field 1 model retrieval uncertain inference model based propositional logic model based predicate logic specific probabilistic model 2 interactive retrieval probability ranking principle interactive ir cognitive model design user interface ir 3 multimedia retrieval syntax semantics pragmatic image retrieval audio retrieval video retrieval 4 retrieval structured semi structured data ir database xml retrieval 5 distributed retrieval model similarity based decision theoretic framework architecture central broker p2p grid distributed clustering 6 implementation ir system access method algorithm implementaiton distributed ir system 7 evaluation nonlinear ranking interactive retrieval,student learn advanced ir model know model retrieving multimedia semi structured data ass suitability concrete application know model method interactive distributed retrieval learn different method implementing ir system able apply advanced evaluation method,,32,information retrieval deal vagueness imprecision information system course teach advanced concept field 1 model retrieval uncertain inference model based propositional logic model based predicate logic specific probabilistic model 2 interactive retrieval probability ranking principle interactive ir cognitive model design user interface ir 3 multimedia retrieval syntax semantics pragmatic image retrieval audio retrieval video retrieval 4 retrieval structured semi structured data ir database xml retrieval 5 distributed retrieval model similarity based decision theoretic framework architecture central broker p2p grid distributed clustering 6 implementation ir system access method algorithm implementaiton distributed ir system 7 evaluation nonlinear ranking interactive retrieval student learn advanced ir model know model retrieving multimedia semi structured data ass suitability concrete application know model method interactive distributed retrieval learn different method implementing ir system able apply advanced evaluation method 
Information Engineering,information engineering deal acquisition preparation storage organization distribution information knowledge intensive environment like eg digital library knowledge management system information underlies life cycle creation storage distribution application may lead creation new information life cycle may strongly linked certain business process informaion used performing knowledge intensive task creation application knowledge may also collaborative task content 1 fundamental information lifcycle knowledge process information seeking searching metadata 2 method digitization informaiton extraction ontology engineering access management annotation recommendation preservation evaluation 3 system repository web server dosument management content management knowledge management enterprise search digital library social medium,student learn basic concept information engineering understand theoretical foundation ie method able apply method learn ass possibility limitaitons ie system regarding functionality able evaluate ie system,,33,information engineering deal acquisition preparation storage organization distribution information knowledge intensive environment like eg digital library knowledge management system information underlies life cycle creation storage distribution application may lead creation new information life cycle may strongly linked certain business process informaion used performing knowledge intensive task creation application knowledge may also collaborative task content 1 fundamental information lifcycle knowledge process information seeking searching metadata 2 method digitization informaiton extraction ontology engineering access management annotation recommendation preservation evaluation 3 system repository web server dosument management content management knowledge management enterprise search digital library social medium student learn basic concept information engineering understand theoretical foundation ie method able apply method learn ass possibility limitaitons ie system regarding functionality able evaluate ie system 
